# bond	bond length (A)
1	1.4001262812251702
2	1.3757408144862957
3	1.3994509380990288
4	1.38909454548533
5	1.7627116377004417
6	1.3265755523805933
7	1.7364767888140165
8	1.3795913882925999
9	1.4271170651345255
10	1.0811435570171086
11	1.5102990908937977
12	1.0760710078869449
13	1.0738384725513124
14	1.3095953639713112
15	1.324930098155686
16	1.7679304858367004
17	1.7620677861475635
18	1.382317496894858
19	1.395875167498156
20	1.1513275275584631
21	1.3996625182097027
22	1.1505131004273503
23	1.4488518309904714
24	1.4502427177360175
25	1.097349366273366
26	1.525143795472108
27	1.0938825464009259
28	1.5328483678302232
29	1.5349508790361854
30	1.525859502250997
31	1.0870494617650261
32	1.5272456600805853
33	1.091424497781802
34	1.0910935397669312
35	1.0898359989469815
36	1.0864248764453452
37	1.0967612926472046
38	1.0877663699667695
39	1.5323012998922674
40	1.087871099051954
41	1.0850057185560216
42	1.0874985435672098
43	1.0859318805597211
44	1.0860357940025607
45	1.0876909106210981
46	1.0877561424338482
47	1.0862417333517531
