"BLA-1.csv" - Blacomcalc v.2.0.9

Bond number, Bond length [Å]
1, 1.162951035125727
2, 1.16171269942271
3, 1.4167040491577625
4, 1.4187264505182104
5, 1.3797396907388004
6, 1.7522913990829265
7, 1.3578620492892495
8, 1.3131590896003424
9, 1.4467950252195365
10, 1.522136355192924
11, 1.5333551745437193
12, 1.5393955166882878
13, 1.539538450120685
14, 1.373360714779624
15, 1.4066438023181278
16, 1.59120884949148
17, 1.39525235728165
18, 1.3916637176056577
19, 1.3986071722967817
20, 1.3416781342035802
21, 1.4616139226895728
22, 1.461777069494524
23, 1.5281774773238874
24, 1.5316976682426588
25, 1.5269536194004063
